Product,Price,SupplierPrice,Supplier,Quantity
QuickBite Energy Bars,1.99,1.67,SupplierC,18
SpeedySnack Granola Bites,2.49,2.07,SupplierA,1
SwiftSips Instant Coffee,3.29,2.49,SupplierC,60
EasyGrab Breakfast Wraps,2.99,2.32,SupplierD,34
SnackDash Trail Mix,1.79,1.07,SupplierB,7
SwiftMunch Pretzel Sticks,1.29,0.89,SupplierC,25
MiniMarvel Snack Packs,0.99,0.84,SupplierE,80
ZipChips Potato Crisps,1.49,1.04,SupplierA,19
SnapPop Popcorn Cups,0.99,0.74,SupplierE,36
GoGo Noodle Cups,1.59,1.05,SupplierB,7
ChillCup Ice Cream Cones,2.79,2.35,SupplierC,67
ChillThirsty Juice Boxes,1.29,0.91,SupplierD,59
MiniMunch Mini Donuts,1.99,1.65,SupplierE,78
ReadyGo Microwaveable Meals,3.49,2.8,SupplierB,6
MunchPacks Assorted Candy,1.19,0.8,SupplierC,54
TastyBite Sandwich Wraps,3.99,3.5,SupplierB,37
GrabNGo Fresh Fruit Cups,1.79,1.47,SupplierD,30
EZBake Cookie Dough,2.29,1.61,SupplierA,64
QuickFix Pain Relievers,4.99,3.64,SupplierC,99
FastFuel Energy Shots,2.99,2.45,SupplierA,8
EasyWipe Hand Sanitizers,1.49,1.03,SupplierD,1
PopTop Energy Drinks,2.49,1.78,SupplierB,71
ChillCup Slushies,1.99,1.62,SupplierC,40
GoChill Ice Pops,0.69,0.61,SupplierD,51
SwiftSlice Deli Meats,3.99,3.34,SupplierD,51
SnackSack Potato Chips,1.99,1.61,SupplierE,50
SpeedySip Iced Tea,1.29,0.99,SupplierB,22
EZChew Gum Packs,0.99,0.74,SupplierB,74
SnackShot Pudding Cups,1.19,0.7,SupplierE,27
MunchBox Snack Mix,1.49,0.89,SupplierB,44
SwiftBrew Instant Tea,2.29,1.15,SupplierC,57
QuickZap Frozen Burritos,2.79,1.88,SupplierD,62
ReadyHeat Hot Pockets,1.99,2.19,SupplierC,71
EZCheese Cheese Sticks,1.49,1.39,SupplierE,8
MunchBites Cheese Balls,0.99,1.08,SupplierD,78
EasyDip Veggie Cups,1.79,0.75,SupplierB,26
SpeedyBrew Coffee Pods,4.49,1.31,SupplierE,56
SnackStix Beef Jerky,3.99,3.19,SupplierB,22
GoChomp Protein Bars,2.99,2.79,SupplierC,47
QuickThaw Frozen Meals,3.49,2.15,SupplierB,36
SwiftChill Ice Cubes,0.99,2.75,SupplierA,97
EasyPour Milk Jugs,2.29,0.72,SupplierB,62
EZBrew Iced Coffee,2.99,1.59,SupplierA,97
MiniMelt Ice Cream Cups,1.49,1.92,SupplierA,89
SnackStack Cookie Packs,1.79,0.95,SupplierB,25
MunchBox Assorted Nuts,2.49,1.48,SupplierA,27
PopTop Fruit Cups,1.29,1.95,SupplierE,34
GoNosh Pudding Cups,1.19,0.92,SupplierC,8
TastyTreat Gummy Bears,1.59,0.85,SupplierE,46
